"GEO_ID","id"
"S1703_C02_002E","Less than 50 percent of the poverty level!!Estimate!!SEX!!Male"
"S1703_C02_002M","Less than 50 percent of the poverty level!!Margin of Error!!SEX!!Male"
"S1703_C02_003E","Less than 50 percent of the poverty level!!Estimate!!SEX!!Female"
"S1703_C02_003M","Less than 50 percent of the poverty level!!Margin of Error!!SEX!!Female"
"S1703_C02_004E","Less than 50 percent of the poverty level!!Estimate!!AGE!!Under 18 years"
"S1703_C02_004M","Less than 50 percent of the poverty level!!Margin of Error!!AGE!!Under 18 years"
"S1703_C02_005E","Less than 50 percent of the poverty level!!Estimate!!AGE!!Related children under 18 years"
"S1703_C02_005M","Less than 50 percent of the poverty level!!Margin of Error!!AGE!!Related children under 18 years"
"S1703_C02_006E","Less than 50 percent of the poverty level!!Estimate!!AGE!!18 to 64 years"
"S1703_C02_006M","Less than 50 percent of the poverty level!!Margin of Error!!AGE!!18 to 64 years"
"S1703_C02_007E","Less than 50 percent of the poverty level!!Estimate!!AGE!!65 years and over"
"S1703_C02_007M","Less than 50 percent of the poverty level!!Margin of Error!!AGE!!65 years and over"
"S1703_C02_008E","Less than 50 percent of the poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S1703_C02_008M","Less than 50 percent of the poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S1703_C02_009E","Less than 50 percent of the poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S1703_C02_009M","Less than 50 percent of the poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S1703_C02_010E","Less than 50 percent of the poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S1703_C02_010M","Less than 50 percent of the poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S1703_C02_011E","Less than 50 percent of the poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S1703_C02_011M","Less than 50 percent of the poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S1703_C02_012E","Less than 50 percent of the poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S1703_C02_012M","Less than 50 percent of the poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S1703_C02_013E","Less than 50 percent of the poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S1703_C02_013M","Less than 50 percent of the poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S1703_C02_014E","Less than 50 percent of the poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S1703_C02_014M","Less than 50 percent of the poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S1703_C02_015E","Less than 50 percent of the poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S1703_C02_015M","Less than 50 percent of the poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S1703_C02_016E","Less than 50 percent of the poverty level!!Estimate!!Hispanic or Latino origin (of any race)"
"S1703_C02_016M","Less than 50 percent of the poverty level!!Margin of Error!!Hispanic or Latino origin (of any race)"
"S1703_C02_017E","Less than 50 percent of the poverty level!!Estimate!!White alone, not Hispanic or Latino"
"S1703_C02_017M","Less than 50 percent of the poverty level!!Margin of Error!!White alone, not Hispanic or Latino"
"S1703_C02_018E","Less than 50 percent of the poverty level!!Estimate!!LIVING ARRANGEMENT!!In family households"
"S1703_C02_018M","Less than 50 percent of the poverty level!!Margin of Error!!LIVING ARRANGEMENT!!In family households"
"S1703_C02_019E","Less than 50 percent of the poverty level!!Estimate!!LIVING ARRANGEMENT!!In married-couple family"
"S1703_C02_019M","Less than 50 percent of the poverty level!!Margin of Error!!LIVING ARRANGEMENT!!In married-couple family"
"S1703_C02_020E","Less than 50 percent of the poverty level!!Estimate!!LIVING ARRANGEMENT!!In Female householder, no husband present households"
"S1703_C02_020M","Less than 50 percent of the poverty level!!Margin of Error!!LIVING ARRANGEMENT!!In Female householder, no husband present households"
"S1703_C02_021E","Less than 50 percent of the poverty level!!Estimate!!LIVING ARRANGEMENT!!In other living arrangements"
"S1703_C02_021M","Less than 50 percent of the poverty level!!Margin of Error!!LIVING ARRANGEMENT!!In other living arrangements"
"S1703_C02_022E","Less than 50 percent of the poverty level!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S1703_C02_022M","Less than 50 percent of the poverty level!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S1703_C02_023E","Less than 50 percent of the poverty level!!Estimate!!EDUCATIONAL ATTAINMENT!!Less than high school graduate"
"S1703_C02_023M","Less than 50 percent of the poverty level!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Less than high school graduate"
"S1703_C02_024E","Less than 50 percent of the poverty level!!Estimate!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)"
"S1703_C02_024M","Less than 50 percent of the poverty level!!Margin of Error!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)"
"S1703_C02_025E","Less than 50 percent of the poverty level!!Estimate!!EDUCATIONAL ATTAINMENT!!Some college or associate's degree"
"S1703_C02_025M","Less than 50 percent of the poverty level!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Some college or associate's degree"
"S1703_C02_026E","Less than 50 percent of the poverty level!!Estimate!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher"
"S1703_C02_026M","Less than 50 percent of the poverty level!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher"
"S1703_C02_027E","Less than 50 percent of the poverty level!!Estimate!!CITIZENSHIP STATUS!!Native"
"S1703_C02_027M","Less than 50 percent of the poverty level!!Margin of Error!!CITIZENSHIP STATUS!!Native"
"S1703_C02_028E","Less than 50 percent of the poverty level!!Estimate!!CITIZENSHIP STATUS!!Foreign born"
"S1703_C02_028M","Less than 50 percent of the poverty level!!Margin of Error!!CITIZENSHIP STATUS!!Foreign born"
"S1703_C02_029E","Less than 50 percent of the poverty level!!Estimate!!CITIZENSHIP STATUS!!Naturalized citizen"
"S1703_C02_029M","Less than 50 percent of the poverty level!!Margin of Error!!CITIZENSHIP STATUS!!Naturalized citizen"
"S1703_C02_030E","Less than 50 percent of the poverty level!!Estimate!!DISABILITY STATUS!!With any disability"
"S1703_C02_030M","Less than 50 percent of the poverty level!!Margin of Error!!DISABILITY STATUS!!With any disability"
"S1703_C02_031E","Less than 50 percent of the poverty level!!Estimate!!DISABILITY STATUS!!No disability"
"S1703_C02_031M","Less than 50 percent of the poverty level!!Margin of Error!!DISABILITY STATUS!!No disability"
"S1703_C02_032E","Less than 50 percent of the poverty level!!Estimate!!WORK STATUS!!Population 16 to 64 years"
"S1703_C02_032M","Less than 50 percent of the poverty level!!Margin of Error!!WORK STATUS!!Population 16 to 64 years"
"S1703_C02_033E","Less than 50 percent of the poverty level!!Estimate!!WORK STATUS!!Worked full-time, year-round"
"S1703_C02_033M","Less than 50 percent of the poverty level!!Margin of Error!!WORK STATUS!!Worked full-time, year-round"
"S1703_C02_034E","Less than 50 percent of the poverty level!!Estimate!!WORK STATUS!!Worked less than full-time, year-round"
"S1703_C02_034M","Less than 50 percent of the poverty level!!Margin of Error!!WORK STATUS!!Worked less than full-time, year-round"
"S1703_C02_035E","Less than 50 percent of the poverty level!!Estimate!!WORK STATUS!!Did not work"
"S1703_C02_035M","Less than 50 percent of the poverty level!!Margin of Error!!WORK STATUS!!Did not work"
"S1703_C03_001E","Less than 100 percent of the poverty level!!Estimate!!Population for whom poverty status is determined"
"S1703_C03_001M","Less than 100 percent of the poverty level!!Margin of Error!!Population for whom poverty status is determined"
"S1703_C03_002E","Less than 100 percent of the poverty level!!Estimate!!SEX!!Male"
"S1703_C03_002M","Less than 100 percent of the poverty level!!Margin of Error!!SEX!!Male"
"S1703_C03_003E","Less than 100 percent of the poverty level!!Estimate!!SEX!!Female"
"S1703_C03_003M","Less than 100 percent of the poverty level!!Margin of Error!!SEX!!Female"
"S1703_C03_004E","Less than 100 percent of the poverty level!!Estimate!!AGE!!Under 18 years"
"S1703_C03_004M","Less than 100 percent of the poverty level!!Margin of Error!!AGE!!Under 18 years"
"S1703_C03_005E","Less than 100 percent of the poverty level!!Estimate!!AGE!!Related children under 18 years"
"S1703_C03_005M","Less than 100 percent of the poverty level!!Margin of Error!!AGE!!Related children under 18 years"
"S1703_C03_006E","Less than 100 percent of the poverty level!!Estimate!!AGE!!18 to 64 years"
"S1703_C03_006M","Less than 100 percent of the poverty level!!Margin of Error!!AGE!!18 to 64 years"
"S1703_C03_007E","Less than 100 percent of the poverty level!!Estimate!!AGE!!65 years and over"
"S1703_C03_007M","Less than 100 percent of the poverty level!!Margin of Error!!AGE!!65 years and over"
"S1703_C03_008E","Less than 100 percent of the poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S1703_C03_008M","Less than 100 percent of the poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S1703_C03_009E","Less than 100 percent of the poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S1703_C03_009M","Less than 100 percent of the poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S1703_C03_010E","Less than 100 percent of the poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S1703_C03_010M","Less than 100 percent of the poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S1703_C03_011E","Less than 100 percent of the poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S1703_C03_011M","Less than 100 percent of the poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S1703_C03_012E","Less than 100 percent of the poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S1703_C03_012M","Less than 100 percent of the poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S1703_C03_013E","Less than 100 percent of the poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S1703_C03_013M","Less than 100 percent of the poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S1703_C03_014E","Less than 100 percent of the poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S1703_C03_014M","Less than 100 percent of the poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S1703_C03_015E","Less than 100 percent of the poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S1703_C03_015M","Less than 100 percent of the poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S1703_C03_016E","Less than 100 percent of the poverty level!!Estimate!!Hispanic or Latino origin (of any race)"
"S1703_C03_016M","Less than 100 percent of the poverty level!!Margin of Error!!Hispanic or Latino origin (of any race)"
"S1703_C03_017E","Less than 100 percent of the poverty level!!Estimate!!White alone, not Hispanic or Latino"
"S1703_C03_017M","Less than 100 percent of the poverty level!!Margin of Error!!White alone, not Hispanic or Latino"
"S1703_C03_018E","Less than 100 percent of the poverty level!!Estimate!!LIVING ARRANGEMENT!!In family households"
"S1703_C03_018M","Less than 100 percent of the poverty level!!Margin of Error!!LIVING ARRANGEMENT!!In family households"
"S1703_C03_019E","Less than 100 percent of the poverty level!!Estimate!!LIVING ARRANGEMENT!!In married-couple family"
"S1703_C03_019M","Less than 100 percent of the poverty level!!Margin of Error!!LIVING ARRANGEMENT!!In married-couple family"
"S1703_C03_020E","Less than 100 percent of the poverty level!!Estimate!!LIVING ARRANGEMENT!!In Female householder, no husband present households"
"S1703_C03_020M","Less than 100 percent of the poverty level!!Margin of Error!!LIVING ARRANGEMENT!!In Female householder, no husband present households"
"S1703_C03_021E","Less than 100 percent of the poverty level!!Estimate!!LIVING ARRANGEMENT!!In other living arrangements"
"S1703_C03_021M","Less than 100 percent of the poverty level!!Margin of Error!!LIVING ARRANGEMENT!!In other living arrangements"
"S1703_C03_022E","Less than 100 percent of the poverty level!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S1703_C03_022M","Less than 100 percent of the poverty level!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S1703_C03_023E","Less than 100 percent of the poverty level!!Estimate!!EDUCATIONAL ATTAINMENT!!Less than high school graduate"
"S1703_C03_023M","Less than 100 percent of the poverty level!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Less than high school graduate"
"S1703_C03_024E","Less than 100 percent of the poverty level!!Estimate!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)"
"S1703_C03_024M","Less than 100 percent of the poverty level!!Margin of Error!!EDUCATIONAL ATTAINMENT!!High school graduate (includes equivalency)"
"S1703_C03_025E","Less than 100 percent of the poverty level!!Estimate!!EDUCATIONAL ATTAINMENT!!Some college or associate's degree"
"S1703_C03_025M","Less than 100 percent of the poverty level!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Some college or associate's degree"
"S1703_C03_026E","Less than 100 percent of the poverty level!!Estimate!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher"
"S1703_C03_026M","Less than 100 percent of the poverty level!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Bachelor's degree or higher"
"S1703_C03_027E","Less than 100 percent of the poverty level!!Estimate!!CITIZENSHIP STATUS!!Native"
"S1703_C03_027M","Less than 100 percent of the poverty level!!Margin of Error!!CITIZENSHIP STATUS!!Native"
"S1703_C03_028E","Less than 100 percent of the poverty level!!Estimate!!CITIZENSHIP STATUS!!Foreign born"
"S1703_C03_028M","Less than 100 percent of the poverty level!!Margin of Error!!CITIZENSHIP STATUS!!Foreign born"
"S1703_C03_029E","Less than 100 percent of the poverty level!!Estimate!!CITIZENSHIP STATUS!!Naturalized citizen"
"S1703_C03_029M","Less than 100 percent of the poverty level!!Margin of Error!!CITIZENSHIP STATUS!!Naturalized citizen"
"S1703_C03_030E","Less than 100 percent of the poverty level!!Estimate!!DISABILITY STATUS!!With any disability"
"S1703_C03_030M","Less than 100 percent of the poverty level!!Margin of Error!!DISABILITY STATUS!!With any disability"
"S1703_C03_031E","Less than 100 percent of the poverty level!!Estimate!!DISABILITY STATUS!!No disability"
"S1703_C03_031M","Less than 100 percent of the poverty level!!Margin of Error!!DISABILITY STATUS!!No disability"
"S1703_C03_032E","Less than 100 percent of the poverty level!!Estimate!!WORK STATUS!!Population 16 to 64 years"
"S1703_C03_032M","Less than 100 percent of the poverty level!!Margin of Error!!WORK STATUS!!Population 16 to 64 years"
"S1703_C03_033E","Less than 100 percent of the poverty level!!Estimate!!WORK STATUS!!Worked full-time, year-round"
"S1703_C03_033M","Less than 100 percent of the poverty level!!Margin of Error!!WORK STATUS!!Worked full-time, year-round"
"S1703_C03_034E","Less than 100 percent of the poverty level!!Estimate!!WORK STATUS!!Worked less than full-time, year-round"
"S1703_C03_034M","Less than 100 percent of the poverty level!!Margin of Error!!WORK STATUS!!Worked less than full-time, year-round"
"S1703_C03_035E","Less than 100 percent of the poverty level!!Estimate!!WORK STATUS!!Did not work"
"S1703_C03_035M","Less than 100 percent of the poverty level!!Margin of Error!!WORK STATUS!!Did not work"
"S1703_C04_001E","Less than 125 percent of the poverty level!!Estimate!!Population for whom poverty status is determined"
"S1703_C04_001M","Less than 125 percent of the poverty level!!Margin of Error!!Population for whom poverty status is determined"
"S1703_C04_002E","Less than 125 percent of the poverty level!!Estimate!!SEX!!Male"
"S1703_C04_002M","Less than 125 percent of the poverty level!!Margin of Error!!SEX!!Male"
"S1703_C04_003E","Less than 125 percent of the poverty level!!Estimate!!SEX!!Female"
"S1703_C04_003M","Less than 125 percent of the poverty level!!Margin of Error!!SEX!!Female"
"S1703_C04_004E","Less than 125 percent of the poverty level!!Estimate!!AGE!!Under 18 years"
"S1703_C04_004M","Less than 125 percent of the poverty level!!Margin of Error!!AGE!!Under 18 years"
"S1703_C04_005E","Less than 125 percent of the poverty level!!Estimate!!AGE!!Related children under 18 years"
"S1703_C04_005M","Less than 125 percent of the poverty level!!Margin of Error!!AGE!!Related children under 18 years"
"S1703_C04_006E","Less than 125 percent of the poverty level!!Estimate!!AGE!!18 to 64 years"
"S1703_C04_006M","Less than 125 percent of the poverty level!!Margin of Error!!AGE!!18 to 64 years"
"S1703_C04_007E","Less than 125 percent of the poverty level!!Estimate!!AGE!!65 years and over"
"S1703_C04_007M","Less than 125 percent of the poverty level!!Margin of Error!!AGE!!65 years and over"
"S1703_C04_008E","Less than 125 percent of the poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S1703_C04_008M","Less than 125 percent of the poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S1703_C04_009E","Less than 125 percent of the poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S1703_C04_009M","Less than 125 percent of the poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White"
"S1703_C04_010E","Less than 125 percent of the poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S1703_C04_010M","Less than 125 percent of the poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American"
"S1703_C04_011E","Less than 125 percent of the poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S1703_C04_011M","Less than 125 percent of the poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native"
"S1703_C04_012E","Less than 125 percent of the poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S1703_C04_012M","Less than 125 percent of the poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian"
"S1703_C04_013E","Less than 125 percent of the poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S1703_C04_013M","Less than 125 percent of the poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander"
"S1703_C04_014E","Less than 125 percent of the poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S1703_C04_014M","Less than 125 percent of the poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race"
"S1703_C04_015E","Less than 125 percent of the poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S1703_C04_015M","Less than 125 percent of the poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S1703_C04_016E","Less than 125 percent of the poverty level!!Estimate!!Hispanic or Latino origin (of any race)"
"S1703_C04_016M","Less than 125 percent of the poverty level!!Margin of Error!!Hispanic or Latino origin (of any race)"
"S1703_C04_017E","Less than 125 percent of the poverty level!!Estimate!!White alone, not Hispanic or Latino"
"S1703_C04_017M","Less than 125 percent of the poverty level!!Margin of Error!!White alone, not Hispanic or Latino"
"S1703_C04_018E","Less than 125 percent of the poverty level!!Estimate!!LIVING ARRANGEMENT!!In family households"
"S1703_C04_018M","Less than 125 percent of the poverty level!!Margin of Error!!LIVING ARRANGEMENT!!In family households"
"S1703_C04_019E","Less than 125 percent of the poverty level!!Estimate!!LIVING ARRANGEMENT!!In married-couple family"
"S1703_C04_019M","Less than 125 percent of the poverty level!!Margin of Error!!LIVING ARRANGEMENT!!In married-couple family"
"S1703_C04_020E","Less than 125 percent of the poverty level!!Estimate!!LIVING ARRANGEMENT!!In Female householder, no husband present households"
"S1703_C04_020M","Less than 125 percent of the poverty level!!Margin of Error!!LIVING ARRANGEMENT!!In Female householder, no husband present households"
"S1703_C04_021E","Less than 125 percent of the poverty level!!Estimate!!LIVING ARRANGEMENT!!In other living arrangements"
"S1703_C04_021M","Less than 125 percent of the poverty level!!Margin of Error!!LIVING ARRANGEMENT!!In other living arrangements"
"S1703_C04_022E","Less than 125 percent of the poverty level!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S1703_C04_022M","Less than 125 percent of the poverty level!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S1703_C04_023E","Less than 125 percent of the poverty level!!Estimate!!EDUCATIONAL ATTAINMENT!!Less than high school graduate"
